"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	"2010"	"2010"	189	710231	26.6
	"Alaska"	"02"	"2011"	"2011"	178	722718	24.6
	"Alaska"	"02"	"2012"	"2012"	218	731449	29.8
	"Alaska"	"02"	"2013"	"2013"	188	735132	25.6
	"Alaska"	"02"	"2014"	"2014"	175	736732	23.8
	"Alaska"	"02"	"2015"	"2015"	190	738432	25.7
	"Alaska"	"02"	"2016"	"2016"	237	741894	31.9
	"Alaska"	"02"	"2017"	"2017"	236	739795	31.9
	"Alaska"	"02"	"2018"	"2018"	271	737438	36.7
	"Alaska"	"02"	"2019"	"2019"	268	731545	36.6
	"Alaska"	"02"	"2020 "	"2020"	289	731158	39.5
"Total"	"Alaska"	"02"			3820	15300884	25.0
	"Arizona"	"04"	"1999"	"1999"	1714	5023823	34.1
	"Arizona"	"04"	"2000"	"2000"	1818	5130632	35.4
	"Arizona"	"04"	"2001"	"2001"	1894	5273477	35.9
	"Arizona"	"04"	"2002"	"2002"	2297	5396255	42.6
	"Arizona"	"04"	"2003"	"2003"	2570	5510364	46.6
	"Arizona"	"04"	"2004"	"2004"	2578	5652404	45.6
	"Arizona"	"04"	"2005"	"2005"	2815	5839077	48.2
	"Arizona"	"04"	"2006"	"2006"	3131	6029141	51.9
	"Arizona"	"04"	"2007"	"2007"	3104	6167681	50.3
	"Arizona"	"04"	"2008"	"2008"	3150	6280362	50.2
	"Arizona"	"04"	"2009"	"2009"	3109	6343154	49.0
	"Arizona"	"04"	"2010"	"2010"	3473	6392017	54.3
	"Arizona"	"04"	"2011"	"2011"	3544	6482505	54.7
	"Arizona"	"04"	"2012"	"2012"	3336	6553255	50.9
	"Arizona"	"04"	"2013"	"2013"	3666	6626624	55.3
	"Arizona"	"04"	"2014"	"2014"	3918	6731484	58.2
	"Arizona"	"04"	"2015"	"2015"	4697	6828065	68.8
	"Arizona"	"04"	"2016"	"2016"	4895	6931071	70.6
	"Arizona"	"04"	"2017"	"2017"	5225	7016270	74.5
	"Arizona"	"04"	"2018"	"2018"	5490	7171646	76.6
	"Arizona"	"04"	"2019"	"2019"	5933	7278717	81.5
	"Arizona"	"04"	"2020 "	"2020"	7116	7421401	95.9
"Total"	"Arizona"	"04"			79473	138079425	57.6
	"Arkansas"	"05"	"1999"	"1999"	810	2651860	30.5
	"Arkansas"	"05"	"2000"	"2000"	869	2673400	32.5
	"Arkansas"	"05"	"2001"	"2001"	909	2691571	33.8
	"Arkansas"	"05"	"2002"	"2002"	1020	2705927	37.7
	"Arkansas"	"05"	"2003"	"2003"	968	2724816	35.5
	"Arkansas"	"05"	"2004"	"2004"	1075	2749686	39.1
	"Arkansas"	"05"	"2005"	"2005"	1161	2781097	41.7
	"Arkansas"	"05"	"2006"	"2006"	1274	2821761	45.1
	"Arkansas"	"05"	"2007"	"2007"	1334	2848650	46.8
	"Arkansas"	"05"	"2008"	"2008"	1395	2874554	48.5
	"Arkansas"	"05"	"2009"	"2009"	1434	2896843	49.5
	"Arkansas"	"05"	"2010"	"2010"	1567	2915918	53.7
	"Arkansas"	"05"	"2011"	"2011"	1592	2937979	54.2
	"Arkansas"	"05"	"2012"	"2012"	1635	2949131	55.4
	"Arkansas"	"05"	"2013"	"2013"	1581	2959373	53.4
	"Arkansas"	"05"	"2014"	"2014"	1906	2966369	64.3
	"Arkansas"	"05"	"2015"	"2015"	2397	2978204	80.5
	"Arkansas"	"05"	"2016"	"2016"	2620	2988248	87.7
	"Arkansas"	"05"	"2017"	"2017"	2631	3004279	87.6
	"Arkansas"	"05"	"2018"	"2018"	2781	3013825	92.3
	"Arkansas"	"05"	"2019"	"2019"	3101	3017804	102.8
	"Arkansas"	"05"	"2020 "	"2020"	3237	3030522	106.8
"Total"	"Arkansas"	"05"			37297	63181817	59.0
	"California"	"06"	"1999"	"1999"	8182	33499204	24.4
	"California"	"06"	"2000"	"2000"	8051	33871648	23.8
	"California"	"06"	"2001"	"2001"	8490	34479458	24.6
	"California"	"06"	"2002"	"2002"	9197	34871843	26.4
	"California"	"06"	"2003"	"2003"	10669	35253159	30.3
	"California"	"06"	"2004"	"2004"	11073	35574576	31.1
	"California"	"06"	"2005"	"2005"	11982	35827943	33.4
	"California"	"06"	"2006"	"2006"	12596	36021202	35.0
	"California"	"06"	"2007"	"2007"	13002	36250311	35.9
	"California"	"06"	"2008"	"2008"	14718	36604337	40.2
	"California"	"06"	"2009"	"2009"	14669	36961229	39.7
	"California"	"06"	"2010"	"2010"	15983	37253956	42.9
	"California"	"06"	"2011"	"2011"	16834	37691912	44.7
	"California"	"06"	"2012"	"2012"	17132	38041430	45.0
	"California"	"06"	"2013"	"2013"	18497	38332521	48.3
	"California"	"06"	"2014"	"2014"	19729	38802500	50.8
	"California"	"06"	"2015"	"2015"	23123	39144818	59.1
	"California"	"06"	"2016"	"2016"	24067	39250017	61.3
	"California"	"06"	"2017"	"2017"	25337	39536653	64.1
	"California"	"06"	"2018"	"2018"	25695	39557045	65.0
	"California"	"06"	"2019"	"2019"	26973	39512223	68.3
	"California"	"06"	"2020 "	"2020"	30363	39368078	77.1
"Total"	"California"	"06"			366362	815706063	44.9
	"Colorado"	"08"	"1999"	"1999"	1277	4226018	30.2
	"Colorado"	"08"	"2000"	"2000"	1343	4301261	31.2
	"Colorado"	"08"	"2001"	"2001"	1451	4425687	32.8
	"Colorado"	"08"	"2002"	"2002"	1620	4490406	36.1
	"Colorado"	"08"	"2003"	"2003"	1665	4528732	36.8
	"Colorado"	"08"	"2004"	"2004"	1626	4575013	35.5
	"Colorado"	"08"	"2005"	"2005"	1816	4631888	39.2
	"Colorado"	"08"	"2006"	"2006"	1825	4720423	38.7
	"Colorado"	"08"	"2007"	"2007"	1926	4803868	40.1
	"Colorado"	"08"	"2008"	"2008"	2247	4889730	46.0
	"Colorado"	"08"	"2009"	"2009"	2145	4972195	43.1
	"Colorado"	"08"	"2010"	"2010"	2210	5029196	43.9
	"Colorado"	"08"	"2011"	"2011"	2253	5116796	44.0
	"Colorado"	"08"	"2012"	"2012"	2314	5187582	44.6
	"Colorado"	"08"	"2013"	"2013"	2332	5268367	44.3
	"Colorado"	"08"	"2014"	"2014"	2531	5355866	47.3
	"Colorado"	"08"	"2015"	"2015"	2877	5456574	52.7
	"Colorado"	"08"	"2016"	"2016"	3214	5540545	58.0
	"Colorado"	"08"	"2017"	"2017"	3222	5607154	57.5
	"Colorado"	"08"	"2018"	"2018"	3280	5695564	57.6
	"Colorado"	"08"	"2019"	"2019"	3577	5758736	62.1
	"Colorado"	"08"	"2020 "	"2020"	4135	5807719	71.2
"Total"	"Colorado"	"08"			50886	110389320	46.1
	"Connecticut"	"09"	"1999"	"1999"	963	3386401	28.4
	"Connecticut"	"09"	"2000"	"2000"	1064	3405565	31.2
	"Connecticut"	"09"	"2001"	"2001"	1106	3432835	32.2
	"Connecticut"	"09"	"2002"	"2002"	1113	3458749	32.2
	"Connecticut"	"09"	"2003"	"2003"	1158	3484336	33.2
	"Connecticut"	"09"	"2004"	"2004"	1241	3496094	35.5
	"Connecticut"	"09"	"2005"	"2005"	1352	3506956	38.6
	"Connecticut"	"09"	"2006"	"2006"	1333	3517460	37.9
	"Connecticut"	"09"	"2007"	"2007"	1375	3527270	39.0
	"Connecticut"	"09"	"2008"	"2008"	1469	3545579	41.4
	"Connecticut"	"09"	"2009"	"2009"	1419	3561807	39.8
	"Connecticut"	"09"	"2010"	"2010"	1456	3574097	40.7
	"Connecticut"	"09"	"2011"	"2011"	1508	3580709	42.1
	"Connecticut"	"09"	"2012"	"2012"	1521	3590347	42.4
	"Connecticut"	"09"	"2013"	"2013"	1565	3596080	43.5
	"Connecticut"	"09"	"2014"	"2014"	1677	3596677	46.6
	"Connecticut"	"09"	"2015"	"2015"	1799	3590886	50.1
	"Connecticut"	"09"	"2016"	"2016"	1917	3576452	53.6
	"Connecticut"	"09"	"2017"	"2017"	1995	3588184	55.6
	"Connecticut"	"09"	"2018"	"2018"	1989	3572665	55.7
	"Connecticut"	"09"	"2019"	"2019"	1988	3565287	55.8
	"Connecticut"	"09"	"2020 "	"2020"	2344	3557006	65.9
"Total"	"Connecticut"	"09"			33352	77711442	42.9
	"Delaware"	"10"	"1999"	"1999"	227	774990	29.3
	"Delaware"	"10"	"2000"	"2000"	236	783600	30.1
	"Delaware"	"10"	"2001"	"2001"	261	795699	32.8
	"Delaware"	"10"	"2002"	"2002"	249	806169	30.9
	"Delaware"	"10"	"2003"	"2003"	273	818003	33.4
	"Delaware"	"10"	"2004"	"2004"	288	830803	34.7
	"Delaware"	"10"	"2005"	"2005"	357	845150	42.2
	"Delaware"	"10"	"2006"	"2006"	335	859268	39.0
	"Delaware"	"10"	"2007"	"2007"	348	871749	39.9
	"Delaware"	"10"	"2008"	"2008"	360	883874	40.7
	"Delaware"	"10"	"2009"	"2009"	339	891730	38.0
	"Delaware"	"10"	"2010"	"2010"	379	897934	42.2
	"Delaware"	"10"	"2011"	"2011"	420	907135	46.3
	"Delaware"	"10"	"2012"	"2012"	416	917092	45.4
	"Delaware"	"10"	"2013"	"2013"	396	925749	42.8
	"Delaware"	"10"	"2014"	"2014"	401	935614	42.9
	"Delaware"	"10"	"2015"	"2015"	503	945934	53.2
	"Delaware"	"10"	"2016"	"2016"	547	952065	57.5
	"Delaware"	"10"	"2017"	"2017"	666	961939	69.2
	"Delaware"	"10"	"2018"	"2018"	717	967171	74.1
	"Delaware"	"10"	"2019"	"2019"	610	973764	62.6
	"Delaware"	"10"	"2020 "	"2020"	840	986809	85.1
"Total"	"Delaware"	"10"			9168	19532241	46.9
	"District of Columbia"	"11"	"1999"	"1999"	127	570213	22.3
	"District of Columbia"	"11"	"2000"	"2000"	153	572059	26.7
	"District of Columbia"	"11"	"2001"	"2001"	189	574504	32.9
	"District of Columbia"	"11"	"2002"	"2002"	185	573158	32.3
	"District of Columbia"	"11"	"2003"	"2003"	177	568502	31.1
	"District of Columbia"	"11"	"2004"	"2004"	201	567754	35.4
	"District of Columbia"	"11"	"2005"	"2005"	190	567136	33.5
	"District of Columbia"	"11"	"2006"	"2006"	209	570681	36.6
	"District of Columbia"	"11"	"2007"	"2007"	202	574404	35.2
	"District of Columbia"	"11"	"2008"	"2008"	211	580236	36.4
	"District of Columbia"	"11"	"2009"	"2009"	169	592228	28.5
	"District of Columbia"	"11"	"2010"	"2010"	202	601723	33.6
	"District of Columbia"	"11"	"2011"	"2011"	203	617996	32.8
	"District of Columbia"	"11"	"2012"	"2012"	207	632323	32.7
	"District of Columbia"	"11"	"2013"	"2013"	228	646449	35.3
	"District of Columbia"	"11"	"2014"	"2014"	212	658893	32.2
	"District of Columbia"	"11"	"2015"	"2015"	259	672228	38.5
	"District of Columbia"	"11"	"2016"	"2016"	252	681170	37.0
	"District of Columbia"	"11"	"2017"	"2017"	282	693972	40.6
	"District of Columbia"	"11"	"2018"	"2018"	308	702455	43.8
	"District of Columbia"	"11"	"2019"	"2019"	258	705749	36.6
	"District of Columbia"	"11"	"2020 "	"2020"	266	712816	37.3
"Total"	"District of Columbia"	"11"			4690	13636649	34.4
	"Florida"	"12"	"1999"	"1999"	5792	15759421	36.8
	"Florida"	"12"	"2000"	"2000"	6138	15982378	38.4
	"Florida"	"12"	"2001"	"2001"	6724	16356966	41.1
	"Florida"	"12"	"2002"	"2002"	7107	16689370	42.6
	"Florida"	"12"	"2003"	"2003"	7697	17004085	45.3
	"Florida"	"12"	"2004"	"2004"	7632	17415318	43.8
	"Florida"	"12"	"2005"	"2005"	8297	17842038	46.5
	"Florida"	"12"	"2006"	"2006"	8621	18166990	47.5
	"Florida"	"12"	"2007"	"2007"	8795	18367842	47.9
	"Florida"	"12"	"2008"	"2008"	9222	18527305	49.8
	"Florida"	"12"	"2009"	"2009"	9313	18652644	49.9
	"Florida"	"12"	"2010"	"2010"	9776	18801310	52.0
	"Florida"	"12"	"2011"	"2011"	9653	19057542	50.7
	"Florida"	"12"	"2012"	"2012"	9744	19317568	50.4
	"Florida"	"12"	"2013"	"2013"	10565	19552860	54.0
	"Florida"	"12"	"2014"	"2014"	11552	19893297	58.1
	"Florida"	"12"	"2015"	"2015"	13058	20271272	64.4
	"Florida"	"12"	"2016"	"2016"	14035	20612439	68.1
	"Florida"	"12"	"2017"	"2017"	15140	20984400	72.1
	"Florida"	"12"	"2018"	"2018"	15634	21299325	73.4
	"Florida"	"12"	"2019"	"2019"	16105	21477737	75.0
	"Florida"	"12"	"2020 "	"2020"	18233	21733312	83.9
"Total"	"Florida"	"12"			228833	413765419	55.3
	"Georgia"	"13"	"1999"	"1999"	1969	8045965	24.5
	"Georgia"	"13"	"2000"	"2000"	2260	8186453	27.6
	"Georgia"	"13"	"2001"	"2001"	2509	8377038	30.0
	"Georgia"	"13"	"2002"	"2002"	2542	8508256	29.9
	"Georgia"	"13"	"2003"	"2003"	2738	8622793	31.8
	"Georgia"	"13"	"2004"	"2004"	2834	8769252	32.3
	"Georgia"	"13"	"2005"	"2005"	2941	8925922	32.9
	"Georgia"	"13"	"2006"	"2006"	3035	9155813	33.1
	"Georgia"	"13"	"2007"	"2007"	3146	9349988	33.6
	"Georgia"	"13"	"2008"	"2008"	3238	9504843	34.1
	"Georgia"	"13"	"2009"	"2009"	3268	9620846	34.0
	"Georgia"	"13"	"2010"	"2010"	3525	9687653	36.4
	"Georgia"	"13"	"2011"	"2011"	3750	9815210	38.2
	"Georgia"	"13"	"2012"	"2012"	3752	9919945	37.8
	"Georgia"	"13"	"2013"	"2013"	3904	9992167	39.1
	"Georgia"	"13"	"2014"	"2014"	4770	10097343	47.2
	"Georgia"	"13"	"2015"	"2015"	6117	10214860	59.9
	"Georgia"	"13"	"2016"	"2016"	6701	10310371	65.0
	"Georgia"	"13"	"2017"	"2017"	7333	10429379	70.3
	"Georgia"	"13"	"2018"	"2018"	8048	10519475	76.5
	"Georgia"	"13"	"2019"	"2019"	8158	10617423	76.8
	"Georgia"	"13"	"2020 "	"2020"	9487	10710017	88.6
"Total"	"Georgia"	"13"			96025	209381012	45.9
	"Hawaii"	"15"	"1999"	"1999"	295	1210300	24.4
	"Hawaii"	"15"	"2000"	"2000"	287	1211537	23.7
	"Hawaii"	"15"	"2001"	"2001"	306	1225948	25.0
	"Hawaii"	"15"	"2002"	"2002"	323	1239613	26.1
	"Hawaii"	"15"	"2003"	"2003"	365	1251154	29.2
	"Hawaii"	"15"	"2004"	"2004"	352	1273569	27.6
	"Hawaii"	"15"	"2005"	"2005"	385	1292729	29.8
	"Hawaii"	"15"	"2006"	"2006"	417	1309731	31.8
	"Hawaii"	"15"	"2007"	"2007"	481	1315675	36.6
	"Hawaii"	"15"	"2008"	"2008"	405	1332213	30.4
	"Hawaii"	"15"	"2009"	"2009"	489	1346717	36.3
	"Hawaii"	"15"	"2010"	"2010"	418	1360301	30.7
	"Hawaii"	"15"	"2011"	"2011"	414	1374810	30.1
	"Hawaii"	"15"	"2012"	"2012"	505	1392313	36.3
	"Hawaii"	"15"	"2013"	"2013"	513	1404054	36.5
	"Hawaii"	"15"	"2014"	"2014"	607	1419561	42.8
	"Hawaii"	"15"	"2015"	"2015"	726	1431603	50.7
	"Hawaii"	"15"	"2016"	"2016"	704	1428557	49.3
	"Hawaii"	"15"	"2017"	"2017"	770	1427538	53.9
	"Hawaii"	"15"	"2018"	"2018"	833	1420491	58.6
	"Hawaii"	"15"	"2019"	"2019"	807	1415872	57.0
	"Hawaii"	"15"	"2020 "	"2020"	960	1407006	68.2
"Total"	"Hawaii"	"15"			11362	29491292	38.5
	"Idaho"	"16"	"1999"	"1999"	418	1275674	32.8
	"Idaho"	"16"	"2000"	"2000"	469	1293953	36.2
	"Idaho"	"16"	"2001"	"2001"	518	1319962	39.2
	"Idaho"	"16"	"2002"	"2002"	554	1340372	41.3
	"Idaho"	"16"	"2003"	"2003"	588	1363380	43.1
	"Idaho"	"16"	"2004"	"2004"	611	1391802	43.9
	"Idaho"	"16"	"2005"	"2005"	682	1428241	47.8
	"Idaho"	"16"	"2006"	"2006"	667	1468669	45.4
	"Idaho"	"16"	"2007"	"2007"	713	1505105	47.4
	"Idaho"	"16"	"2008"	"2008"	667	1534320	43.5
	"Idaho"	"16"	"2009"	"2009"	672	1554439	43.2
	"Idaho"	"16"	"2010"	"2010"	710	1567582	45.3
	"Idaho"	"16"	"2011"	"2011"	749	1584985	47.3
	"Idaho"	"16"	"2012"	"2012"	718	1595728	45.0
	"Idaho"	"16"	"2013"	"2013"	726	1612136	45.0
	"Idaho"	"16"	"2014"	"2014"	755	1634464	46.2
	"Idaho"	"16"	"2015"	"2015"	998	1654930	60.3
	"Idaho"	"16"	"2016"	"2016"	1072	1683140	63.7
	"Idaho"	"16"	"2017"	"2017"	1237	1716943	72.0
	"Idaho"	"16"	"2018"	"2018"	1267	1754208	72.2
	"Idaho"	"16"	"2019"	"2019"	1292	1787065	72.3
	"Idaho"	"16"	"2020 "	"2020"	1429	1826913	78.2
"Total"	"Idaho"	"16"			17512	33894011	51.7
	"Illinois"	"17"	"1999"	"1999"	3754	12359020	30.4
	"Illinois"	"17"	"2000"	"2000"	4000	12419293	32.2
	"Illinois"	"17"	"2001"	"2001"	4051	12488445	32.4
	"Illinois"	"17"	"2002"	"2002"	4429	12525556	35.4
	"Illinois"	"17"	"2003"	"2003"	4585	12556006	36.5
	"Illinois"	"17"	"2004"	"2004"	4654	12589773	37.0
	"Illinois"	"17"	"2005"	"2005"	5025	12609903	39.8
	"Illinois"	"17"	"2006"	"2006"	4928	12643955	39.0
	"Illinois"	"17"	"2007"	"2007"	4881	12695866	38.4
	"Illinois"	"17"	"2008"	"2008"	5498	12747038	43.1
	"Illinois"	"17"	"2009"	"2009"	5180	12796778	40.5
	"Illinois"	"17"	"2010"	"2010"	5239	12830632	40.8
	"Illinois"	"17"	"2011"	"2011"	5393	12869257	41.9
	"Illinois"	"17"	"2012"	"2012"	5414	12875255	42.0
	"Illinois"	"17"	"2013"	"2013"	5570	12882135	43.2
	"Illinois"	"17"	"2014"	"2014"	6125	12880580	47.6
	"Illinois"	"17"	"2015"	"2015"	6562	12859995	51.0
	"Illinois"	"17"	"2016"	"2016"	7070	12801539	55.2
	"Illinois"	"17"	"2017"	"2017"	7358	12802023	57.5
	"Illinois"	"17"	"2018"	"2018"	7736	12741080	60.7
	"Illinois"	"17"	"2019"	"2019"	7805	12671821	61.6
	"Illinois"	"17"	"2020 "	"2020"	8991	12587530	71.4
"Total"	"Illinois"	"17"			124248	279233480	44.5
	"Indiana"	"18"	"1999"	"1999"	2017	6044969	33.4
	"Indiana"	"18"	"2000"	"2000"	2236	6080485	36.8
	"Indiana"	"18"	"2001"	"2001"	2310	6127760	37.7
	"Indiana"	"18"	"2002"	"2002"	2519	6155967	40.9
	"Indiana"	"18"	"2003"	"2003"	2724	6196638	44.0
	"Indiana"	"18"	"2004"	"2004"	2671	6233007	42.9
	"Indiana"	"18"	"2005"	"2005"	2814	6278616	44.8
	"Indiana"	"18"	"2006"	"2006"	2918	6332669	46.1
	"Indiana"	"18"	"2007"	"2007"	2887	6379599	45.3
	"Indiana"	"18"	"2008"	"2008"	3284	6424806	51.1
	"Indiana"	"18"	"2009"	"2009"	3171	6459325	49.1
	"Indiana"	"18"	"2010"	"2010"	3272	6483802	50.5
	"Indiana"	"18"	"2011"	"2011"	3486	6516922	53.5
	"Indiana"	"18"	"2012"	"2012"	3576	6537334	54.7
	"Indiana"	"18"	"2013"	"2013"	3676	6570902	55.9
	"Indiana"	"18"	"2014"	"2014"	3967	6596855	60.1
	"Indiana"	"18"	"2015"	"2015"	4490	6619680	67.8
	"Indiana"	"18"	"2016"	"2016"	4783	6633053	72.1
	"Indiana"	"18"	"2017"	"2017"	5056	6666818	75.8
	"Indiana"	"18"	"2018"	"2018"	5054	6691878	75.5
	"Indiana"	"18"	"2019"	"2019"	5275	6732219	78.4
	"Indiana"	"18"	"2020 "	"2020"	5842	6754953	86.5
"Total"	"Indiana"	"18"			78028	141518257	55.1
	"Iowa"	"19"	"1999"	"1999"	1205	2917634	41.3
	"Iowa"	"19"	"2000"	"2000"	1271	2926324	43.4
	"Iowa"	"19"	"2001"	"2001"	1348	2931997	46.0
	"Iowa"	"19"	"2002"	"2002"	1459	2934234	49.7
	"Iowa"	"19"	"2003"	"2003"	1451	2941999	49.3
	"Iowa"	"19"	"2004"	"2004"	1474	2953635	49.9
	"Iowa"	"19"	"2005"	"2005"	1683	2964454	56.8
	"Iowa"	"19"	"2006"	"2006"	1760	2982644	59.0
	"Iowa"	"19"	"2007"	"2007"	1849	2999212	61.6
	"Iowa"	"19"	"2008"	"2008"	2048	3016734	67.9
	"Iowa"	"19"	"2009"	"2009"	1965	3032870	64.8
	"Iowa"	"19"	"2010"	"2010"	2169	3046355	71.2
	"Iowa"	"19"	"2011"	"2011"	2165	3062309	70.7
	"Iowa"	"19"	"2012"	"2012"	2052	3074186	66.7
	"Iowa"	"19"	"2013"	"2013"	2035	3090416	65.8
	"Iowa"	"19"	"2014"	"2014"	2116	3107126	68.1
	"Iowa"	"19"	"2015"	"2015"	2165	3123899	69.3
	"Iowa"	"19"	"2016"	"2016"	2249	3134693	71.7
	"Iowa"	"19"	"2017"	"2017"	2532	3145711	80.5
	"Iowa"	"19"	"2018"	"2018"	2404	3156145	76.2
	"Iowa"	"19"	"2019"	"2019"	2434	3155070	77.1
	"Iowa"	"19"	"2020 "	"2020"	2691	3163561	85.1
"Total"	"Iowa"	"19"			42525	66861208	63.6
	"Kansas"	"20"	"1999"	"1999"	969	2678338	36.2
	"Kansas"	"20"	"2000"	"2000"	1073	2688418	39.9
	"Kansas"	"20"	"2001"	"2001"	1165	2702162	43.1
	"Kansas"	"20"	"2002"	"2002"	1281	2713535	47.2
	"Kansas"	"20"	"2003"	"2003"	1348	2723004	49.5
	"Kansas"	"20"	"2004"	"2004"	1322	2734373	48.3
	"Kansas"	"20"	"2005"	"2005"	1502	2745299	54.7
	"Kansas"	"20"	"2006"	"2006"	1430	2762931	51.8
	"Kansas"	"20"	"2007"	"2007"	1478	2783785	53.1
	"Kansas"	"20"	"2008"	"2008"	1540	2808076	54.8
	"Kansas"	"20"	"2009"	"2009"	1421	2832704	50.2
	"Kansas"	"20"	"2010"	"2010"	1416	2853118	49.6
	"Kansas"	"20"	"2011"	"2011"	1470	2871238	51.2
	"Kansas"	"20"	"2012"	"2012"	1482	2885905	51.4
	"Kansas"	"20"	"2013"	"2013"	1471	2893957	50.8
	"Kansas"	"20"	"2014"	"2014"	1520	2904021	52.3
	"Kansas"	"20"	"2015"	"2015"	1708	2911641	58.7
	"Kansas"	"20"	"2016"	"2016"	1778	2907289	61.2
	"Kansas"	"20"	"2017"	"2017"	1894	2913123	65.0
	"Kansas"	"20"	"2018"	"2018"	1987	2911505	68.2
	"Kansas"	"20"	"2019"	"2019"	2122	2913314	72.8
	"Kansas"	"20"	"2020 "	"2020"	2474	2913805	84.9
"Total"	"Kansas"	"20"			33851	62051541	54.6
	"Kentucky"	"21"	"1999"	"1999"	1311	4018053	32.6
	"Kentucky"	"21"	"2000"	"2000"	1455	4041769	36.0
	"Kentucky"	"21"	"2001"	"2001"	1561	4068132	38.4
	"Kentucky"	"21"	"2002"	"2002"	1657	4089875	40.5
	"Kentucky"	"21"	"2003"	"2003"	1784	4117170	43.3
	"Kentucky"	"21"	"2004"	"2004"	1635	4146101	39.4
	"Kentucky"	"21"	"2005"	"2005"	1851	4182742	44.3
	"Kentucky"	"21"	"2006"	"2006"	1935	4219239	45.9
	"Kentucky"	"21"	"2007"	"2007"	1932	4256672	45.4
	"Kentucky"	"21"	"2008"	"2008"	2206	4289878	51.4
	"Kentucky"	"21"	"2009"	"2009"	2208	4317074	51.1
	"Kentucky"	"21"	"2010"	"2010"	2326	4339367	53.6
	"Kentucky"	"21"	"2011"	"2011"	2375	4369356	54.4
	"Kentucky"	"21"	"2012"	"2012"	2431	4380415	55.5
	"Kentucky"	"21"	"2013"	"2013"	2485	4395295	56.5
	"Kentucky"	"21"	"2014"	"2014"	2633	4413457	59.7
	"Kentucky"	"21"	"2015"	"2015"	2977	4425092	67.3
	"Kentucky"	"21"	"2016"	"2016"	3093	4436974	69.7
	"Kentucky"	"21"	"2017"	"2017"	3271	4454189	73.4
	"Kentucky"	"21"	"2018"	"2018"	3259	4468402	72.9
	"Kentucky"	"21"	"2019"	"2019"	3380	4467673	75.7
	"Kentucky"	"21"	"2020 "	"2020"	3726	4477251	83.2
"Total"	"Kentucky"	"21"			51491	94374176	54.6
	"Louisiana"	"22"	"1999"	"1999"	1304	4460811	29.2
	"Louisiana"	"22"	"2000"	"2000"	1465	4468976	32.8
	"Louisiana"	"22"	"2001"	"2001"	1628	4477875	36.4
	"Louisiana"	"22"	"2002"	"2002"	1840	4497267	40.9
	"Louisiana"	"22"	"2003"	"2003"	1902	4521042	42.1
	"Louisiana"	"22"	"2004"	"2004"	1999	4552238	43.9
	"Louisiana"	"22"	"2005"	"2005"	2225	4576628	48.6
	"Louisiana"	"22"	"2006"	"2006"	2047	4302665	47.6
	"Louisiana"	"22"	"2007"	"2007"	2105	4375581	48.1
	"Louisiana"	"22"	"2008"	"2008"	2110	4435586	47.6
	"Louisiana"	"22"	"2009"	"2009"	2160	4491648	48.1
	"Louisiana"	"22"	"2010"	"2010"	2080	4533372	45.9
	"Louisiana"	"22"	"2011"	"2011"	2242	4574836	49.0
