"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"2020 "	"2020"	54	7421401	0.7
	"Arkansas"	"05"	"2001"	"2001"	15	2691571	Unreliable
	"Arkansas"	"05"	"2002"	"2002"	11	2705927	Unreliable
	"Arkansas"	"05"	"2005"	"2005"	11	2781097	Unreliable
	"Arkansas"	"05"	"2007"	"2007"	18	2848650	Unreliable
	"Arkansas"	"05"	"2010"	"2010"	10	2915918	Unreliable
	"Arkansas"	"05"	"2012"	"2012"	15	2949131	Unreliable
	"Arkansas"	"05"	"2013"	"2013"	11	2959373	Unreliable
	"Arkansas"	"05"	"2014"	"2014"	12	2966369	Unreliable
	"Arkansas"	"05"	"2015"	"2015"	10	2978204	Unreliable
	"Arkansas"	"05"	"2016"	"2016"	16	2988248	Unreliable
	"Arkansas"	"05"	"2017"	"2017"	15	3004279	Unreliable
	"Arkansas"	"05"	"2018"	"2018"	15	3013825	Unreliable
	"Arkansas"	"05"	"2019"	"2019"	21	3017804	0.7
	"Arkansas"	"05"	"2020 "	"2020"	18	3030522	Unreliable
	"California"	"06"	"1999"	"1999"	114	33499204	0.3
	"California"	"06"	"2000"	"2000"	126	33871648	0.4
	"California"	"06"	"2001"	"2001"	113	34479458	0.3
	"California"	"06"	"2002"	"2002"	125	34871843	0.4
	"California"	"06"	"2003"	"2003"	150	35253159	0.4
	"California"	"06"	"2004"	"2004"	150	35574576	0.4
	"California"	"06"	"2005"	"2005"	115	35827943	0.3
	"California"	"06"	"2006"	"2006"	139	36021202	0.4
	"California"	"06"	"2007"	"2007"	162	36250311	0.4
	"California"	"06"	"2008"	"2008"	155	36604337	0.4
	"California"	"06"	"2009"	"2009"	161	36961229	0.4
	"California"	"06"	"2010"	"2010"	153	37253956	0.4
	"California"	"06"	"2011"	"2011"	141	37691912	0.4
	"California"	"06"	"2012"	"2012"	161	38041430	0.4
	"California"	"06"	"2013"	"2013"	182	38332521	0.5
	"California"	"06"	"2014"	"2014"	181	38802500	0.5
	"California"	"06"	"2015"	"2015"	173	39144818	0.4
	"California"	"06"	"2016"	"2016"	190	39250017	0.5
	"California"	"06"	"2017"	"2017"	227	39536653	0.6
	"California"	"06"	"2018"	"2018"	239	39557045	0.6
	"California"	"06"	"2019"	"2019"	238	39512223	0.6
	"California"	"06"	"2020 "	"2020"	277	39368078	0.7
	"Colorado"	"08"	"1999"	"1999"	15	4226018	Unreliable
	"Colorado"	"08"	"2000"	"2000"	19	4301261	Unreliable
	"Colorado"	"08"	"2001"	"2001"	21	4425687	0.5
	"Colorado"	"08"	"2002"	"2002"	18	4490406	Unreliable
	"Colorado"	"08"	"2003"	"2003"	15	4528732	Unreliable
	"Colorado"	"08"	"2004"	"2004"	28	4575013	0.6
	"Colorado"	"08"	"2005"	"2005"	28	4631888	0.6
	"Colorado"	"08"	"2006"	"2006"	35	4720423	0.7
	"Colorado"	"08"	"2007"	"2007"	20	4803868	0.4
	"Colorado"	"08"	"2008"	"2008"	23	4889730	0.5
	"Colorado"	"08"	"2009"	"2009"	26	4972195	0.5
	"Colorado"	"08"	"2010"	"2010"	22	5029196	0.4
	"Colorado"	"08"	"2011"	"2011"	24	5116796	0.5
	"Colorado"	"08"	"2012"	"2012"	25	5187582	0.5
	"Colorado"	"08"	"2013"	"2013"	34	5268367	0.6
	"Colorado"	"08"	"2014"	"2014"	37	5355866	0.7
	"Colorado"	"08"	"2015"	"2015"	39	5456574	0.7
	"Colorado"	"08"	"2016"	"2016"	48	5540545	0.9
	"Colorado"	"08"	"2017"	"2017"	28	5607154	0.5
	"Colorado"	"08"	"2018"	"2018"	43	5695564	0.8
	"Colorado"	"08"	"2019"	"2019"	46	5758736	0.8
	"Colorado"	"08"	"2020 "	"2020"	53	5807719	0.9
	"Connecticut"	"09"	"2015"	"2015"	20	3590886	0.6
	"Connecticut"	"09"	"2017"	"2017"	18	3588184	Unreliable
	"Connecticut"	"09"	"2018"	"2018"	16	3572665	Unreliable
	"Connecticut"	"09"	"2019"	"2019"	20	3565287	0.6
	"Connecticut"	"09"	"2020 "	"2020"	15	3557006	Unreliable
	"Florida"	"12"	"1999"	"1999"	70	15759421	0.4
	"Florida"	"12"	"2000"	"2000"	96	15982378	0.6
	"Florida"	"12"	"2001"	"2001"	86	16356966	0.5
	"Florida"	"12"	"2002"	"2002"	97	16689370	0.6
	"Florida"	"12"	"2003"	"2003"	90	17004085	0.5
	"Florida"	"12"	"2004"	"2004"	59	17415318	0.3
	"Florida"	"12"	"2005"	"2005"	75	17842038	0.4
	"Florida"	"12"	"2006"	"2006"	73	18166990	0.4
	"Florida"	"12"	"2007"	"2007"	61	18367842	0.3
	"Florida"	"12"	"2008"	"2008"	47	18527305	0.3
	"Florida"	"12"	"2009"	"2009"	59	18652644	0.3
	"Florida"	"12"	"2010"	"2010"	65	18801310	0.3
	"Florida"	"12"	"2011"	"2011"	65	19057542	0.3
	"Florida"	"12"	"2012"	"2012"	76	19317568	0.4
	"Florida"	"12"	"2013"	"2013"	61	19552860	0.3
	"Florida"	"12"	"2014"	"2014"	85	19893297	0.4
	"Florida"	"12"	"2015"	"2015"	89	20271272	0.4
	"Florida"	"12"	"2016"	"2016"	89	20612439	0.4
	"Florida"	"12"	"2017"	"2017"	94	20984400	0.4
	"Florida"	"12"	"2018"	"2018"	109	21299325	0.5
	"Florida"	"12"	"2019"	"2019"	102	21477737	0.5
	"Florida"	"12"	"2020 "	"2020"	123	21733312	0.6
	"Georgia"	"13"	"1999"	"1999"	15	8045965	Unreliable
	"Georgia"	"13"	"2000"	"2000"	19	8186453	Unreliable
	"Georgia"	"13"	"2001"	"2001"	14	8377038	Unreliable
	"Georgia"	"13"	"2003"	"2003"	20	8622793	0.2
	"Georgia"	"13"	"2005"	"2005"	13	8925922	Unreliable
	"Georgia"	"13"	"2006"	"2006"	21	9155813	0.2
	"Georgia"	"13"	"2007"	"2007"	18	9349988	Unreliable
	"Georgia"	"13"	"2008"	"2008"	16	9504843	Unreliable
	"Georgia"	"13"	"2009"	"2009"	14	9620846	Unreliable
	"Georgia"	"13"	"2010"	"2010"	21	9687653	0.2
	"Georgia"	"13"	"2011"	"2011"	24	9815210	0.2
	"Georgia"	"13"	"2012"	"2012"	29	9919945	0.3
	"Georgia"	"13"	"2013"	"2013"	17	9992167	Unreliable
	"Georgia"	"13"	"2014"	"2014"	27	10097343	0.3
	"Georgia"	"13"	"2015"	"2015"	39	10214860	0.4
	"Georgia"	"13"	"2016"	"2016"	41	10310371	0.4
	"Georgia"	"13"	"2017"	"2017"	35	10429379	0.3
	"Georgia"	"13"	"2018"	"2018"	57	10519475	0.5
	"Georgia"	"13"	"2019"	"2019"	48	10617423	0.5
	"Georgia"	"13"	"2020 "	"2020"	53	10710017	0.5
	"Idaho"	"16"	"2001"	"2001"	10	1319962	Unreliable
	"Idaho"	"16"	"2004"	"2004"	10	1391802	Unreliable
	"Idaho"	"16"	"2005"	"2005"	10	1428241	Unreliable
	"Idaho"	"16"	"2006"	"2006"	11	1468669	Unreliable
	"Idaho"	"16"	"2008"	"2008"	10	1534320	Unreliable
	"Idaho"	"16"	"2012"	"2012"	17	1595728	Unreliable
	"Idaho"	"16"	"2017"	"2017"	10	1716943	Unreliable
	"Idaho"	"16"	"2018"	"2018"	13	1754208	Unreliable
	"Idaho"	"16"	"2019"	"2019"	15	1787065	Unreliable
	"Idaho"	"16"	"2020 "	"2020"	18	1826913	Unreliable
	"Illinois"	"17"	"1999"	"1999"	31	12359020	0.3
	"Illinois"	"17"	"2000"	"2000"	15	12419293	Unreliable
	"Illinois"	"17"	"2001"	"2001"	22	12488445	0.2
	"Illinois"	"17"	"2002"	"2002"	35	12525556	0.3
	"Illinois"	"17"	"2003"	"2003"	18	12556006	Unreliable
	"Illinois"	"17"	"2004"	"2004"	23	12589773	0.2
	"Illinois"	"17"	"2005"	"2005"	30	12609903	0.2
	"Illinois"	"17"	"2006"	"2006"	15	12643955	Unreliable
	"Illinois"	"17"	"2007"	"2007"	31	12695866	0.2
	"Illinois"	"17"	"2008"	"2008"	23	12747038	0.2
	"Illinois"	"17"	"2009"	"2009"	23	12796778	0.2
	"Illinois"	"17"	"2010"	"2010"	34	12830632	0.3
	"Illinois"	"17"	"2011"	"2011"	25	12869257	0.2
	"Illinois"	"17"	"2012"	"2012"	27	12875255	0.2
	"Illinois"	"17"	"2013"	"2013"	35	12882135	0.3
	"Illinois"	"17"	"2014"	"2014"	48	12880580	0.4
	"Illinois"	"17"	"2015"	"2015"	48	12859995	0.4
	"Illinois"	"17"	"2016"	"2016"	61	12801539	0.5
	"Illinois"	"17"	"2017"	"2017"	55	12802023	0.4
	"Illinois"	"17"	"2018"	"2018"	49	12741080	0.4
	"Illinois"	"17"	"2019"	"2019"	51	12671821	0.4
	"Illinois"	"17"	"2020 "	"2020"	62	12587530	0.5
	"Indiana"	"18"	"1999"	"1999"	14	6044969	Unreliable
	"Indiana"	"18"	"2000"	"2000"	25	6080485	0.4
	"Indiana"	"18"	"2001"	"2001"	22	6127760	0.4
	"Indiana"	"18"	"2002"	"2002"	16	6155967	Unreliable
	"Indiana"	"18"	"2003"	"2003"	16	6196638	Unreliable
	"Indiana"	"18"	"2004"	"2004"	16	6233007	Unreliable
	"Indiana"	"18"	"2005"	"2005"	21	6278616	0.3
	"Indiana"	"18"	"2006"	"2006"	24	6332669	0.4
	"Indiana"	"18"	"2007"	"2007"	13	6379599	Unreliable
	"Indiana"	"18"	"2008"	"2008"	16	6424806	Unreliable
	"Indiana"	"18"	"2009"	"2009"	26	6459325	0.4
	"Indiana"	"18"	"2010"	"2010"	16	6483802	Unreliable
	"Indiana"	"18"	"2011"	"2011"	28	6516922	0.4
	"Indiana"	"18"	"2012"	"2012"	23	6537334	0.4
	"Indiana"	"18"	"2013"	"2013"	24	6570902	0.4
	"Indiana"	"18"	"2014"	"2014"	27	6596855	0.4
	"Indiana"	"18"	"2015"	"2015"	34	6619680	0.5
	"Indiana"	"18"	"2016"	"2016"	35	6633053	0.5
	"Indiana"	"18"	"2017"	"2017"	37	6666818	0.6
	"Indiana"	"18"	"2018"	"2018"	41	6691878	0.6
	"Indiana"	"18"	"2019"	"2019"	43	6732219	0.6
	"Indiana"	"18"	"2020 "	"2020"	54	6754953	0.8
	"Iowa"	"19"	"1999"	"1999"	15	2917634	Unreliable
	"Iowa"	"19"	"2001"	"2001"	16	2931997	Unreliable
	"Iowa"	"19"	"2002"	"2002"	20	2934234	0.7
	"Iowa"	"19"	"2003"	"2003"	39	2941999	1.3
	"Iowa"	"19"	"2004"	"2004"	12	2953635	Unreliable
	"Iowa"	"19"	"2005"	"2005"	19	2964454	Unreliable
	"Iowa"	"19"	"2006"	"2006"	19	2982644	Unreliable
	"Iowa"	"19"	"2007"	"2007"	24	2999212	0.8
	"Iowa"	"19"	"2008"	"2008"	31	3016734	1.0
	"Iowa"	"19"	"2009"	"2009"	17	3032870	Unreliable
	"Iowa"	"19"	"2010"	"2010"	19	3046355	Unreliable
	"Iowa"	"19"	"2011"	"2011"	18	3062309	Unreliable
	"Iowa"	"19"	"2012"	"2012"	21	3074186	0.7
	"Iowa"	"19"	"2013"	"2013"	12	3090416	Unreliable
	"Iowa"	"19"	"2014"	"2014"	14	3107126	Unreliable
	"Iowa"	"19"	"2015"	"2015"	18	3123899	Unreliable
	"Iowa"	"19"	"2016"	"2016"	13	3134693	Unreliable
	"Iowa"	"19"	"2017"	"2017"	19	3145711	Unreliable
	"Iowa"	"19"	"2018"	"2018"	22	3156145	0.7
	"Iowa"	"19"	"2019"	"2019"	30	3155070	1.0
	"Iowa"	"19"	"2020 "	"2020"	24	3163561	0.8
	"Kansas"	"20"	"2013"	"2013"	10	2893957	Unreliable
	"Kansas"	"20"	"2014"	"2014"	14	2904021	Unreliable
	"Kansas"	"20"	"2016"	"2016"	21	2907289	0.7
	"Kansas"	"20"	"2017"	"2017"	14	2913123	Unreliable
	"Kansas"	"20"	"2018"	"2018"	16	2911505	Unreliable
	"Kansas"	"20"	"2019"	"2019"	12	2913314	Unreliable
	"Kansas"	"20"	"2020 "	"2020"	19	2913805	Unreliable
	"Kentucky"	"21"	"1999"	"1999"	25	4018053	0.6
	"Kentucky"	"21"	"2000"	"2000"	21	4041769	0.5
	"Kentucky"	"21"	"2001"	"2001"	16	4068132	Unreliable
	"Kentucky"	"21"	"2002"	"2002"	15	4089875	Unreliable
	"Kentucky"	"21"	"2003"	"2003"	16	4117170	Unreliable
	"Kentucky"	"21"	"2004"	"2004"	16	4146101	Unreliable
	"Kentucky"	"21"	"2005"	"2005"	15	4182742	Unreliable
	"Kentucky"	"21"	"2006"	"2006"	14	4219239	Unreliable
	"Kentucky"	"21"	"2008"	"2008"	13	4289878	Unreliable
	"Kentucky"	"21"	"2010"	"2010"	15	4339367	Unreliable
	"Kentucky"	"21"	"2011"	"2011"	15	4369356	Unreliable
	"Kentucky"	"21"	"2012"	"2012"	21	4380415	0.5
	"Kentucky"	"21"	"2013"	"2013"	21	4395295	0.5
	"Kentucky"	"21"	"2014"	"2014"	20	4413457	0.5
	"Kentucky"	"21"	"2015"	"2015"	13	4425092	Unreliable
	"Kentucky"	"21"	"2016"	"2016"	26	4436974	0.6
	"Kentucky"	"21"	"2017"	"2017"	25	4454189	0.6
	"Kentucky"	"21"	"2018"	"2018"	25	4468402	0.6
	"Kentucky"	"21"	"2019"	"2019"	28	4467673	0.6
	"Kentucky"	"21"	"2020 "	"2020"	24	4477251	0.5
	"Louisiana"	"22"	"1999"	"1999"	18	4460811	Unreliable
	"Louisiana"	"22"	"2001"	"2001"	15	4477875	Unreliable
	"Louisiana"	"22"	"2002"	"2002"	13	4497267	Unreliable
	"Louisiana"	"22"	"2003"	"2003"	11	4521042	Unreliable
	"Louisiana"	"22"	"2005"	"2005"	16	4576628	Unreliable
	"Louisiana"	"22"	"2007"	"2007"	16	4375581	Unreliable
	"Louisiana"	"22"	"2008"	"2008"	16	4435586	Unreliable
	"Louisiana"	"22"	"2009"	"2009"	14	4491648	Unreliable
	"Louisiana"	"22"	"2010"	"2010"	10	4533372	Unreliable
	"Louisiana"	"22"	"2012"	"2012"	19	4601893	Unreliable
	"Louisiana"	"22"	"2013"	"2013"	21	4625470	0.5
	"Louisiana"	"22"	"2014"	"2014"	18	4649676	Unreliable
	"Louisiana"	"22"	"2015"	"2015"	25	4670724	0.5
	"Louisiana"	"22"	"2016"	"2016"	24	4681666	0.5
	"Louisiana"	"22"	"2017"	"2017"	24	4684333	0.5
	"Louisiana"	"22"	"2018"	"2018"	28	4659978	0.6
	"Louisiana"	"22"	"2019"	"2019"	25	4648794	0.5
	"Louisiana"	"22"	"2020 "	"2020"	28	4645318	0.6
	"Maine"	"23"	"2017"	"2017"	11	1335907	Unreliable
	"Maine"	"23"	"2018"	"2018"	12	1338404	Unreliable
	"Maine"	"23"	"2019"	"2019"	17	1344212	Unreliable
	"Maryland"	"24"	"1999"	"1999"	13	5254509	Unreliable
	"Maryland"	"24"	"2013"	"2013"	18	5928814	Unreliable
	"Maryland"	"24"	"2014"	"2014"	20	5976407	0.3
	"Maryland"	"24"	"2015"	"2015"	16	6006401	Unreliable
	"Maryland"	"24"	"2016"	"2016"	16	6016447	Unreliable
	"Maryland"	"24"	"2017"	"2017"	20	6052177	0.3
	"Maryland"	"24"	"2018"	"2018"	18	6042718	Unreliable
	"Maryland"	"24"	"2019"	"2019"	27	6045680	0.4
	"Maryland"	"24"	"2020 "	"2020"	24	6055802	0.4
	"Massachusetts"	"25"	"1999"	"1999"	12	6317345	Unreliable
	"Massachusetts"	"25"	"2000"	"2000"	10	6349097	Unreliable
	"Massachusetts"	"25"	"2002"	"2002"	10	6417206	Unreliable
	"Massachusetts"	"25"	"2005"	"2005"	13	6403290	Unreliable
	"Massachusetts"	"25"	"2012"	"2012"	10	6646144	Unreliable
	"Massachusetts"	"25"	"2013"	"2013"	14	6692824	Unreliable
	"Massachusetts"	"25"	"2014"	"2014"	15	6745408	Unreliable
	"Massachusetts"	"25"	"2015"	"2015"	28	6794422	0.4
	"Massachusetts"	"25"	"2016"	"2016"	22	6811779	0.3
	"Massachusetts"	"25"	"2017"	"2017"	31	6859819	0.5
	"Massachusetts"	"25"	"2018"	"2018"	21	6902149	0.3
	"Massachusetts"	"25"	"2019"	"2019"	29	6892503	0.4
	"Massachusetts"	"25"	"2020 "	"2020"	15	6893574	Unreliable
	"Michigan"	"26"	"1999"	"1999"	74	9897116	0.7
	"Michigan"	"26"	"2000"	"2000"	60	9938444	0.6
	"Michigan"	"26"	"2001"	"2001"	62	9991120	0.6
	"Michigan"	"26"	"2002"	"2002"	81	10015710	0.8
	"Michigan"	"26"	"2003"	"2003"	83	10041152	0.8
	"Michigan"	"26"	"2004"	"2004"	70	10055315	0.7
	"Michigan"	"26"	"2005"	"2005"	121	10051137	1.2
	"Michigan"	"26"	"2006"	"2006"	89	10036081	0.9
	"Michigan"	"26"	"2007"	"2007"	121	10001284	1.2
	"Michigan"	"26"	"2008"	"2008"	104	9946889	1.0
	"Michigan"	"26"	"2009"	"2009"	102	9901591	1.0
	"Michigan"	"26"	"2010"	"2010"	100	9883640	1.0
	"Michigan"	"26"	"2011"	"2011"	83	9876187	0.8
	"Michigan"	"26"	"2012"	"2012"	80	9883360	0.8
	"Michigan"	"26"	"2013"	"2013"	73	9895622	0.7
	"Michigan"	"26"	"2014"	"2014"	77	9909877	0.8
	"Michigan"	"26"	"2015"	"2015"	71	9922576	0.7
	"Michigan"	"26"	"2016"	"2016"	69	9928300	0.7
	"Michigan"	"26"	"2017"	"2017"	63	9962311	0.6
	"Michigan"	"26"	"2018"	"2018"	65	9995915	0.7
	"Michigan"	"26"	"2019"	"2019"	71	9986857	0.7
	"Michigan"	"26"	"2020 "	"2020"	80	9966555	0.8
	"Minnesota"	"27"	"1999"	"1999"	10	4873481	Unreliable
	"Minnesota"	"27"	"2002"	"2002"	11	5018935	Unreliable
	"Minnesota"	"27"	"2004"	"2004"	12	5087713	Unreliable
	"Minnesota"	"27"	"2007"	"2007"	11	5207203	Unreliable
	"Minnesota"	"27"	"2008"	"2008"	12	5247018	Unreliable
	"Minnesota"	"27"	"2009"	"2009"	10	5281203	Unreliable
	"Minnesota"	"27"	"2011"	"2011"	12	5344861	Unreliable
	"Minnesota"	"27"	"2012"	"2012"	10	5379139	Unreliable
	"Minnesota"	"27"	"2013"	"2013"	11	5420380	Unreliable
	"Minnesota"	"27"	"2014"	"2014"	20	5457173	0.4
	"Minnesota"	"27"	"2015"	"2015"	19	5489594	Unreliable
	"Minnesota"	"27"	"2016"	"2016"	24	5519952	0.4
	"Minnesota"	"27"	"2017"	"2017"	43	5576606	0.8
	"Minnesota"	"27"	"2018"	"2018"	39	5611179	0.7
	"Minnesota"	"27"	"2019"	"2019"	40	5639632	0.7
	"Minnesota"	"27"	"2020 "	"2020"	49	5657342	0.9
	"Mississippi"	"28"	"1999"	"1999"	19	2828408	Unreliable
	"Mississippi"	"28"	"2000"	"2000"	14	2844658	Unreliable
	"Mississippi"	"28"	"2001"	"2001"	15	2852994	Unreliable
	"Mississippi"	"28"	"2002"	"2002"	18	2858681	Unreliable
	"Mississippi"	"28"	"2003"	"2003"	15	2868312	Unreliable
	"Mississippi"	"28"	"2004"	"2004"	18	2889010	Unreliable
	"Mississippi"	"28"	"2005"	"2005"	14	2905943	Unreliable
	"Mississippi"	"28"	"2006"	"2006"	13	2904978	Unreliable
	"Mississippi"	"28"	"2008"	"2008"	11	2947806	Unreliable
	"Mississippi"	"28"	"2009"	"2009"	16	2958774	Unreliable
	"Mississippi"	"28"	"2010"	"2010"	15	2967297	Unreliable
	"Mississippi"	"28"	"2011"	"2011"	12	2978512	Unreliable
	"Mississippi"	"28"	"2012"	"2012"	14	2984926	Unreliable
	"Mississippi"	"28"	"2014"	"2014"	14	2994079	Unreliable
	"Mississippi"	"28"	"2015"	"2015"	10	2992333	Unreliable
	"Mississippi"	"28"	"2016"	"2016"	11	2988726	Unreliable
	"Mississippi"	"28"	"2017"	"2017"	24	2984100	0.8
	"Mississippi"	"28"	"2018"	"2018"	22	2986530	0.7
	"Mississippi"	"28"	"2019"	"2019"	26	2976149	0.9
	"Mississippi"	"28"	"2020 "	"2020"	22	2966786	0.7
	"Missouri"	"29"	"1999"	"1999"	18	5561948	Unreliable
	"Missouri"	"29"	"2000"	"2000"	30	5595211	0.5
	"Missouri"	"29"	"2001"	"2001"	37	5641142	0.7
	"Missouri"	"29"	"2002"	"2002"	25	5674825	0.4
	"Missouri"	"29"	"2003"	"2003"	29	5709403	0.5
	"Missouri"	"29"	"2004"	"2004"	30	5747741	0.5
	"Missouri"	"29"	"2005"	"2005"	39	5790300	0.7
	"Missouri"	"29"	"2006"	"2006"	26	5842704	0.4
	"Missouri"	"29"	"2007"	"2007"	27	5887612	0.5
	"Missouri"	"29"	"2008"	"2008"	26	5923916	0.4
	"Missouri"	"29"	"2009"	"2009"	32	5961088	0.5
	"Missouri"	"29"	"2010"	"2010"	30	5988927	0.5
	"Missouri"	"29"	"2011"	"2011"	29	6010688	0.5
	"Missouri"	"29"	"2012"	"2012"	27	6021988	0.4
	"Missouri"	"29"	"2013"	"2013"	30	6044171	0.5
	"Missouri"	"29"	"2014"	"2014"	30	6063589	0.5
	"Missouri"	"29"	"2015"	"2015"	28	6083672	0.5
	"Missouri"	"29"	"2016"	"2016"	50	6093000	0.8
	"Missouri"	"29"	"2017"	"2017"	43	6113532	0.7
	"Missouri"	"29"	"2018"	"2018"	38	6126452	0.6
	"Missouri"	"29"	"2019"	"2019"	38	6137428	0.6
	"Missouri"	"29"	"2020 "	"2020"	52	6151548	0.8
	"Montana"	"30"	"2020 "	"2020"	11	1080577	Unreliable
	"Nebraska"	"31"	"2016"	"2016"	10	1907116	Unreliable
	"Nebraska"	"31"	"2017"	"2017"	13	1920076	Unreliable
	"Nebraska"	"31"	"2019"	"2019"	10	1934408	Unreliable
	"Nevada"	"32"	"2012"	"2012"	13	2758931	Unreliable
	"Nevada"	"32"	"2013"	"2013"	13	2790136	Unreliable
	"Nevada"	"32"	"2014"	"2014"	13	2839099	Unreliable
	"Nevada"	"32"	"2015"	"2015"	16	2890845	Unreliable
	"Nevada"	"32"	"2016"	"2016"	13	2940058	Unreliable
	"Nevada"	"32"	"2017"	"2017"	18	2998039	Unreliable
	"Nevada"	"32"	"2018"	"2018"	18	3034392	Unreliable
	"Nevada"	"32"	"2019"	"2019"	17	3080156	Unreliable
	"Nevada"	"32"	"2020 "	"2020"	21	3138259	0.7
	"New Hampshire"	"33"	"2018"	"2018"	10	1356458	Unreliable
	"New Hampshire"	"33"	"2020 "	"2020"	10	1366275	Unreliable
	"New Jersey"	"34"	"1999"	"1999"	18	8359592	Unreliable
	"New Jersey"	"34"	"2000"	"2000"	12	8414350	Unreliable
	"New Jersey"	"34"	"2001"	"2001"	13	8492671	Unreliable
	"New Jersey"	"34"	"2002"	"2002"	14	8552643	Unreliable
	"New Jersey"	"34"	"2003"	"2003"	14	8601402	Unreliable
	"New Jersey"	"34"	"2004"	"2004"	21	8634561	0.2
	"New Jersey"	"34"	"2005"	"2005"	20	8651974	0.2
	"New Jersey"	"34"	"2006"	"2006"	18	8661679	Unreliable
	"New Jersey"	"34"	"2007"	"2007"	16	8677885	Unreliable
	"New Jersey"	"34"	"2008"	"2008"	10	8711090	Unreliable
	"New Jersey"	"34"	"2009"	"2009"	12	8755602	Unreliable
	"New Jersey"	"34"	"2010"	"2010"	22	8791894	0.3
	"New Jersey"	"34"	"2011"	"2011"	15	8821155	Unreliable
	"New Jersey"	"34"	"2012"	"2012"	20	8864590	0.2
	"New Jersey"	"34"	"2013"	"2013"	19	8899339	Unreliable
	"New Jersey"	"34"	"2014"	"2014"	18	8938175	Unreliable
	"New Jersey"	"34"	"2015"	"2015"	24	8958013	0.3
	"New Jersey"	"34"	"2016"	"2016"	23	8944469	0.3
	"New Jersey"	"34"	"2017"	"2017"	30	9005644	0.3
	"New Jersey"	"34"	"2018"	"2018"	28	8908520	0.3
	"New Jersey"	"34"	"2019"	"2019"	30	8882190	0.3
	"New Jersey"	"34"	"2020 "	"2020"	49	8882371	0.6
	"New Mexico"	"35"	"2013"	"2013"	10	2085287	Unreliable
	"New Mexico"	"35"	"2014"	"2014"	14	2085572	Unreliable
	"New Mexico"	"35"	"2015"	"2015"	12	2085109	Unreliable
	"New Mexico"	"35"	"2017"	"2017"	17	2088070	Unreliable
	"New Mexico"	"35"	"2018"	"2018"	14	2095428	Unreliable
	"New Mexico"	"35"	"2019"	"2019"	24	2096829	1.1
	"New Mexico"	"35"	"2020 "	"2020"	20	2106319	0.9
	"New York"	"36"	"1999"	"1999"	30	18882725	0.2
	"New York"	"36"	"2000"	"2000"	33	18976457	0.2
	"New York"	"36"	"2001"	"2001"	44	19082838	0.2
	"New York"	"36"	"2002"	"2002"	44	19137800	0.2
	"New York"	"36"	"2003"	"2003"	51	19175939	0.3
	"New York"	"36"	"2004"	"2004"	42	19171567	0.2
